timestamp,open,high,low,close,volume,trade_count,vwap
2022-06-06 15:00:00+00:00,148.18,148.3385,146.01,146.52,9794066,89039,146.799842
2022-06-06 16:00:00+00:00,146.52,146.57,145.2,146.085,6995056,64608,145.751741
2022-06-06 17:00:00+00:00,146.08,146.74,145.6,146.6487,6318631,54513,146.169488
2022-06-06 18:00:00+00:00,146.65,146.89,145.07,145.3999,8469092,69713,145.913044
2022-06-06 19:00:00+00:00,145.4,146.47,144.9,146.14,12202641,103036,145.702308
2022-06-06 20:00:00+00:00,146.14,146.5,146.05,146.27,5856284,3587,146.142018
2022-06-06 21:00:00+00:00,146.27,146.42,146.14,146.2883,69762,1012,146.256367
2022-06-06 22:00:00+00:00,146.29,146.3,146.03,146.07,50199,885,146.176383
2022-06-06 23:00:00+00:00,146.06,146.54,146.06,146.5,63183,949,146.305592
2022-06-07 04:00:00+00:00,145.88,145.88,145.88,145.88,943,4,145.88
2022-06-07 05:00:00+00:00,145.61,145.66,145.61,145.66,539,6,145.59436
2022-06-07 08:00:00+00:00,145.88,145.88,145.41,145.62,32036,686,145.550709
2022-06-07 09:00:00+00:00,145.6,145.72,145.45,145.46,14505,328,145.541846
2022-06-07 10:00:00+00:00,145.49,145.55,144.96,144.96,61418,1074,145.3361
2022-06-07 11:00:00+00:00,144.96,145.41,143.95,144.13,517568,5804,144.50081
2022-06-07 12:00:00+00:00,144.17,145.775,143.8,144.069,745518,6738,144.058227
2022-06-07 13:00:00+00:00,144.05,147.0999,143.8614,146.6,11094290,101863,145.758619
2022-06-07 14:00:00+00:00,146.62,148.3,145.93,147.745,11733131,104279,147.200764
2022-06-07 15:00:00+00:00,147.75,147.85,146.785,147.57,8371261,62697,147.327275
2022-06-07 16:00:00+00:00,147.565,147.885,147.09,147.68,5181219,46627,147.529626
2022-06-07 17:00:00+00:00,147.685,148.36,147.62,148.1388,5903520,47526,148.118729
2022-06-07 18:00:00+00:00,148.14,148.97,148.03,148.365,6807559,55504,148.592129
2022-06-07 19:00:00+00:00,148.37,149.0,147.8,148.69,9608647,83275,148.738916
2022-06-07 20:00:00+00:00,148.66,148.71,148.23,148.31,7240152,3394,148.700568
2022-06-07 21:00:00+00:00,148.3474,148.41,148.2817,148.41,35888,806,148.385361
2022-06-07 22:00:00+00:00,148.41,148.49,148.4,148.48,40879,669,148.443833
2022-06-07 23:00:00+00:00,148.47,148.5,148.2,148.22,52295,864,148.350247
2022-06-08 08:00:00+00:00,147.85,148.53,147.85,148.44,26943,600,148.282057
2022-06-08 09:00:00+00:00,148.44,148.45,148.27,148.45,6858,172,148.389972
2022-06-08 10:00:00+00:00,148.25,148.4,147.88,148.4,23503,411,148.172848
2022-06-08 11:00:00+00:00,148.33,148.94,148.25,148.45,306595,2461,148.528806
2022-06-08 12:00:00+00:00,148.38,148.46,147.75,148.25,290807,3878,148.172722
2022-06-08 13:00:00+00:00,148.25,149.8697,148.0,149.73,9735862,84073,149.162698
2022-06-08 14:00:00+00:00,149.73,149.77,148.57,149.01,9284393,78648,149.256099
2022-06-08 15:00:00+00:00,149.01,149.6472,148.65,149.06,5899312,51454,149.248562
2022-06-08 16:00:00+00:00,149.06,149.37,147.74,148.23,5249608,47730,148.546767
2022-06-08 17:00:00+00:00,148.22,148.38,147.46,148.2538,4949571,42870,147.961697
2022-06-08 18:00:00+00:00,148.26,148.43,147.57,147.8706,4885839,40225,147.995613
2022-06-08 19:00:00+00:00,147.871,148.47,147.5649,148.0,7635947,69031,147.989954
2022-06-08 20:00:00+00:00,147.96,148.29,147.78,147.92,5261187,2254,147.960352
2022-06-08 21:00:00+00:00,147.96,148.06,147.88,147.94,42090,625,147.986618
2022-06-08 22:00:00+00:00,147.96,148.05,147.91,148.0,22747,290,147.970788
2022-06-08 23:00:00+00:00,147.97,148.05,147.87,147.92,29189,461,147.947154
2022-06-09 06:00:00+00:00,148.0,148.0,148.0,148.0,303,5,148.0
2022-06-09 08:00:00+00:00,147.8,148.53,147.55,148.53,23908,567,147.949197
2022-06-09 09:00:00+00:00,148.5,148.5,148.27,148.33,10071,229,148.358748
2022-06-09 10:00:00+00:00,148.37,149.76,148.28,148.8,74326,856,148.960857
2022-06-09 11:00:00+00:00,148.77,149.29,147.96,148.56,394513,3182,148.78574
2022-06-09 12:00:00+00:00,148.55,148.58,147.35,147.69,763387,7862,147.966296
2022-06-09 13:00:00+00:00,147.66,147.95,146.38,147.62,9840162,88391,147.145273
2022-06-09 14:00:00+00:00,147.63,147.66,146.1416,146.4301,10142332,88697,146.797755
2022-06-09 15:00:00+00:00,146.43,146.92,145.95,146.3199,6555819,59858,146.363598
2022-06-09 16:00:00+00:00,146.33,146.52,145.8,146.37,5661507,51175,146.133129
2022-06-09 17:00:00+00:00,146.38,146.64,145.58,146.0399,5329320,45389,146.06597
2022-06-09 18:00:00+00:00,146.04,146.04,144.74,144.755,5971798,57710,145.351959
2022-06-09 19:00:00+00:00,144.755,144.79,142.53,142.605,15585904,138375,143.518403
2022-06-09 20:00:00+00:00,142.61,142.9,142.0,142.89,8295123,6763,142.640599
2022-06-09 21:00:00+00:00,142.89,143.1399,142.64,143.0484,449142,2674,142.762054
2022-06-09 22:00:00+00:00,143.03,143.23,142.82,142.9,53420,1093,142.983125
2022-06-09 23:00:00+00:00,142.86,143.14,142.75,143.0,73438,1184,142.957654
2022-06-10 04:00:00+00:00,143.28,143.28,143.28,143.28,105,1,143.28
2022-06-10 06:00:00+00:00,143.7,143.7,143.7,143.7,285,3,143.7
2022-06-10 08:00:00+00:00,143.03,143.48,142.9,143.0,45574,1450,143.233172
2022-06-10 09:00:00+00:00,143.04,143.38,143.04,143.26,10402,295,143.178873
2022-06-10 10:00:00+00:00,143.29,143.31,142.77,142.95,12027,441,143.071091
2022-06-10 11:00:00+00:00,143.03,143.19,142.75,142.95,231290,3040,143.017612
2022-06-10 12:00:00+00:00,143.0,143.33,139.66,140.05,1369750,19826,140.813749
2022-06-10 13:00:00+00:00,139.86,140.76,138.32,138.49,13465896,148128,139.563642
2022-06-10 14:00:00+00:00,138.48,140.18,137.38,137.64,16320131,161727,138.104247
2022-06-10 15:00:00+00:00,137.64,138.0513,137.27,137.84,9473915,102409,137.601614
2022-06-10 16:00:00+00:00,137.8586,138.21,137.45,137.7747,7007116,73986,137.817923
2022-06-10 17:00:00+00:00,137.775,138.74,137.46,138.2,7024596,69222,138.044128
2022-06-10 18:00:00+00:00,138.21,139.02,137.79,138.74,7260565,69505,138.216381
2022-06-10 19:00:00+00:00,138.75,139.165,137.06,137.12,17585846,153757,138.058779
2022-06-10 20:00:00+00:00,137.13,137.52,137.06,137.37,10813346,5932,137.133745
2022-06-10 21:00:00+00:00,137.35,137.37,137.13,137.28,164514,2890,137.176509
2022-06-10 22:00:00+00:00,137.3,137.4,137.25,137.35,72115,2064,137.346272
2022-06-10 23:00:00+00:00,137.35,137.5,137.29,137.37,58675,1392,137.375811
2022-06-13 05:00:00+00:00,134.5,134.5,134.4,134.4,279,15,134.453692
2022-06-13 08:00:00+00:00,134.98,135.98,132.54,132.89,336046,7898,133.164968
2022-06-13 09:00:00+00:00,132.88,133.2,132.56,133.07,161052,3640,132.964327
2022-06-13 10:00:00+00:00,133.02,133.6,132.92,133.48,96959,2343,133.273827
2022-06-13 11:00:00+00:00,133.48,133.8,132.53,132.69,894355,12359,133.064865
2022-06-13 12:00:00+00:00,132.6,133.48,132.6,133.1,798007,11209,133.135788
2022-06-13 13:00:00+00:00,133.07,134.66,132.582,134.5999,18406307,176396,133.523709
2022-06-13 14:00:00+00:00,134.6,135.2,132.57,133.07,18135290,175255,133.548898
2022-06-13 15:00:00+00:00,133.0899,134.53,132.63,133.73,13436459,124530,133.742922
2022-06-13 16:00:00+00:00,133.73,135.0569,133.51,133.725,11368385,87931,134.104932
2022-06-13 17:00:00+00:00,133.73,134.3179,133.14,134.2325,8232959,75650,133.681679
2022-06-13 18:00:00+00:00,134.23,134.25,132.71,132.745,9665933,88119,133.38739
2022-06-13 19:00:00+00:00,132.75,133.3118,131.44,131.88,24656882,228977,132.210048
2022-06-13 20:00:00+00:00,131.88,132.62,131.88,132.45,14671578,7128,131.894501
2022-06-13 21:00:00+00:00,132.37,132.52,132.25,132.35,77376,2323,132.410482
